pg_txn_id,approval_no,order_id,merchant_no,approved_at,amount,fee,net_amount,status,method,card_bin
KPAY2026090400000,A90400000,ORD90400000,KPAY-001,2026-09-04 22:53:46,50600,0,50600,PAID,CARD,451892
KPAY2026090400001,A90400001,ORD90400001,KPAY-001,2026-09-04 01:31:05,130500,0,130500,PAID,CARD,457225
KPAY2026090400002,A90400002,ORD90400002,KPAY-001,2026-09-04 14:31:30,11400,0,11400,PAID,CARD,453195
KPAY2026090400003,A90400003,ORD90400003,KPAY-001,2026-09-04 07:55:48,49800,0,49800,REFUND,CARD,452239
KPAY2026090400004,A90400004,ORD90400004,KPAY-001,2026-09-04 12:00:59,10000,0,10000,REFUND,CARD,451303
KPAY2026090400005,A90400005,ORD90400005,KPAY-001,2026-09-04 00:16:52,50000,0,50000,PAID,CARD,459754
KPAY2026090400006,A90400006,ORD90400006,KPAY-001,2026-09-04 14:09:21,130200,0,130200,PAID,CARD,459337
KPAY2026090400007,A90400007,ORD90400007,KPAY-001,2026-09-04 20:54:14,251000,0,251000,PAID,CARD,455314
KPAY2026090400008,A90400008,ORD90400008,KPAY-001,2026-09-04 20:03:05,78600,0,78600,PAID,CARD,453520
KPAY2026090400009,A90400009,ORD90400009,KPAY-001,2026-09-04 23:40:32,79600,0,79600,PAID,CARD,451672
KPAY2026090400010,A90400010,ORD90400010,KPAY-001,2026-09-04 16:09:50,78900,0,78900,PAID,CARD,452503
KPAY2026090400011,A90400011,ORD90400011,KPAY-001,2026-09-04 12:46:25,16800,0,16800,PAID,CARD,458065
KPAY2026090400012,A90400012,ORD90400012,KPAY-001,2026-09-04 03:59:04,251300,0,251300,PAID,CARD,458397
KPAY2026090400013,A90400013,ORD90400013,KPAY-001,2026-09-04 04:56:56,16500,0,16500,PAID,CARD,451240
KPAY2026090400014,A90400014,ORD90400014,KPAY-001,2026-09-04 23:59:58,250500,0,250500,PAID,CARD,455519
KPAY2026090400015,A90400015,ORD90400015,KPAY-001,2026-09-04 22:08:18,250100,0,250100,PAID,CARD,451789
KPAY2026090400016,A90400016,ORD90400016,KPAY-001,2026-09-04 17:10:39,15700,0,15700,PAID,CARD,454848
KPAY2026090400017,A90400017,ORD90400017,KPAY-001,2026-09-04 22:29:19,33000,0,33000,PAID,CARD,454108
KPAY2026090400018,A90400018,ORD90400018,KPAY-001,2026-09-04 06:07:29,34800,0,34800,PAID,CARD,453832
KPAY2026090400019,A90400019,ORD90400019,KPAY-001,2026-09-04 14:34:49,33200,0,33200,PAID,CARD,453861
KPAY2026090400020,A90400020,ORD90400020,KPAY-001,2026-09-04 14:28:04,34000,0,34000,PAID,CARD,455069
KPAY2026090400021,A90400021,ORD90400021,KPAY-001,2026-09-04 23:48:50,251700,0,251700,PAID,CARD,454169
KPAY2026090400022,A90400022,ORD90400022,KPAY-001,2026-09-04 04:29:11,50400,0,50400,PAID,CARD,453194
KPAY2026090400023,A90400023,ORD90400023,KPAY-001,2026-09-04 03:29:04,34900,0,34900,PAID,CARD,459967
