TID,APPR_NO,ORD_NO,MID,TRAN_DTTM,AMT,FEE_AMT,NET_AMT,TRAN_TYPE,PAY_MEAN,CARD_BIN
KPAY2026090400000,A90400000,ORD90400000,KPAY-001,20260904225346,50600,1224,49376,승인,CARD,451892
KPAY2026090400001,A90400001,ORD90400001,KPAY-001,20260904013105,130500,3158,127342,승인,CARD,457225
KPAY2026090400002,A90400002,ORD90400002,KPAY-001,20260904143130,11400,276,11124,승인,CARD,453195
KPAY2026090400003,A90400003,ORD90400003,KPAY-001,20260904075548,49800,1206,48594,매입취소,CARD,452239
KPAY2026090400004,A90400004,ORD90400004,KPAY-001,20260904120059,10000,242,9758,매입취소,CARD,451303
KPAY2026090400005,A90400005,ORD90400005,KPAY-001,20260904001652,50000,1210,48790,승인,CARD,459754
KPAY2026090400006,A90400006,ORD90400006,KPAY-001,20260904140921,130200,3150,127050,승인,CARD,459337
KPAY2026090400007,A90400007,ORD90400007,KPAY-001,20260904205414,251000,6074,244926,승인,CARD,455314
KPAY2026090400008,A90400008,ORD90400008,KPAY-001,20260904200305,78600,1902,76698,승인,CARD,453520
KPAY2026090400009,A90400009,ORD90400009,KPAY-001,20260904234032,79600,1926,77674,승인,CARD,451672
KPAY2026090400010,A90400010,ORD90400010,KPAY-001,20260904160950,78900,1910,76990,승인,CARD,452503
KPAY2026090400011,A90400011,ORD90400011,KPAY-001,20260904124625,16800,407,16393,승인,CARD,458065
KPAY2026090400012,A90400012,ORD90400012,KPAY-001,20260904035904,251300,6082,245218,승인,CARD,458397
KPAY2026090400013,A90400013,ORD90400013,KPAY-001,20260904045656,16500,399,16101,승인,CARD,451240
KPAY2026090400014,A90400014,ORD90400014,KPAY-001,20260904235958,250500,6062,244438,승인,CARD,455519
KPAY2026090400015,A90400015,ORD90400015,KPAY-001,20260904220818,250100,6052,244048,승인,CARD,451789
KPAY2026090400016,A90400016,ORD90400016,KPAY-001,20260904171039,15700,380,15320,승인,CARD,454848
KPAY2026090400018,A90400018,ORD90400018,KPAY-001,20260904060729,34800,843,33957,승인,CARD,453832
KPAY2026090400019,A90400019,ORD90400019,KPAY-001,20260904143449,33200,803,32397,승인,CARD,453861
KPAY2026090400020,A90400020,ORD90400020,KPAY-001,20260904142804,34000,823,33177,승인,CARD,455069
KPAY2026090400021,A90400021,ORD90400021,KPAY-001,20260904234850,251700,6091,245609,승인,CARD,454169
KPAY2026090400022,A90400022,ORD90400022,KPAY-001,20260904042911,50400,1220,49180,승인,CARD,453194
KPAY2026090400023,A90400023,ORD90400023,KPAY-001,20260904032904,34900,845,34055,승인,CARD,459967
KPAY2026090400024,A90400024,ORD90400024,KPAY-001,20260904012234,49000,1186,47814,승인,CARD,456547
KPAY2026090400025,A90400025,ORD90400025,KPAY-001,20260904194415,50800,1230,49570,승인,CARD,457577
KPAY2026090400026,A90400026,ORD90400026,KPAY-001,20260904233520,34100,825,33275,승인,CARD,457707
KPAY2026090400027,A90400027,ORD90400027,KPAY-001,20260904024334,15900,385,15515,승인,CARD,457327
KPAY2026090400028,A90400028,ORD90400028,KPAY-001,20260904121409,16800,407,16393,승인,CARD,456287
KPAY2026090400029,A90400029,ORD90400029,KPAY-001,20260904145927,10300,250,10050,승인,CARD,457350
KPAY2026090400030,A90400030,ORD90400030,KPAY-001,20260904045050,79300,1920,77380,승인,CARD,457384
KPAY2026090400031,A90400031,ORD90400031,KPAY-001,20260904010536,49000,1186,47814,승인,CARD,456160
KPAY2026090400032,A90400032,ORD90400032,KPAY-001,20260904103837,23800,576,23224,승인,CARD,454491
KPAY2026090400033,A90400033,ORD90400033,KPAY-001,20260904090444,129900,3144,126756,승인,CARD,454618
KPAY2026090400034,A90400034,ORD90400034,KPAY-001,20260904073714,78000,1888,76112,승인,CARD,458292
KPAY2026090400035,A90400035,ORD90400035,KPAY-001,20260904035143,50700,1227,49473,승인,CARD,453440
KPAY2026090400036,A90400036,ORD90400036,KPAY-001,20260904034518,33000,799,32201,승인,CARD,452179
KPAY2026090400037,A90400037,ORD90400037,KPAY-001,20260904234848,16500,399,16101,승인,CARD,455081
KPAY2026090400038,A90400038,ORD90400038,KPAY-001,20260904005524,250800,6070,244730,승인,CARD,451777
KPAY2026090400039,A90400039,ORD90400039,KPAY-001,20260904065632,11600,281,11319,승인,CARD,451504
KPAY2026090400040,A90400040,ORD90400040,KPAY-001,20260904022349,15800,383,15417,승인,CARD,459532
KPAY2026090400041,A90400041,ORD90400041,KPAY-001,20260904233612,23100,559,22541,승인,CARD,459342
KPAY2026090400042,A90400042,ORD90400042,KPAY-001,20260904024029,33200,803,32397,승인,CARD,458380
KPAY2026090400043,A90400043,ORD90400043,KPAY-001,20260904082702,24100,583,23517,승인,CARD,455409
KPAY2026090400044,A90400044,ORD90400044,KPAY-001,20260904044951,50400,1220,49180,승인,CARD,451068
KPAY2026090400045,A90400045,ORD90400045,KPAY-001,20260904140635,34200,827,33373,승인,CARD,454380
KPAY2026090400046,A90400046,ORD90400046,KPAY-001,20260904233623,78700,1904,76796,매입취소,CARD,455304
KPAY2026090400047,A90400047,ORD90400047,KPAY-001,20260904153241,24400,591,23809,승인,CARD,458772
KPAY2026090400048,A90400048,ORD90400048,KPAY-001,20260904140038,251500,6086,245414,승인,CARD,457133
KPAY2026090400049,A90400049,ORD90400049,KPAY-001,20260904074008,49400,1196,48204,승인,CARD,451731
KPAY2026090400050,A90400050,ORD90400050,KPAY-001,20260904023445,34700,839,33861,승인,CARD,458683
